modo,lidos,previos,inseridos,redundantes,comp_ordenacao,comp_busca,comp_total,tempo_ordenacao_s,tempo_verificacao_s,tempo_total_s
seq-iter,719,0,718,1,0,257841,257841,0.000000000,0.001374046,0.001374046
seq-rec,719,0,718,1,0,257841,257841,0.000000000,0.003780687,0.003780687
bin-iter,719,0,718,1,3738,6887,10625,0.000039882,0.000114648,0.000154530
bin-rec,719,0,718,1,3353,6887,10240,0.000044138,0.000169229,0.000213367
