modo,lidos,previos,inseridos,redundantes,comp_ordenacao,comp_busca,comp_total,tempo_ordenacao_s,tempo_verificacao_s,tempo_total_s
seq-iter,719,718,0,719,0,258559,258559,0.000000000,0.001228325,0.001228325
seq-rec,719,718,0,719,0,258559,258559,0.000000000,0.003788450,0.003788450
bin-iter,719,718,0,719,7471,7604,15075,0.000068578,0.000148164,0.000216742
bin-rec,719,718,0,719,6694,7604,14298,0.000074946,0.000199188,0.000274134
